Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassCoupledModified,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode_Javascript,CountLineCode_Php,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe_Javascript,CountStmtExe_Php
Directory Structure/AntennaPod/core/build/generated/data_binding_base_class_source_out/freeDebug,2.15,2.15,2.15,1.9,107,16.75,87.75,2.5,0,4,24,0,20,4,20,16,46,40,20,0,8,0,32,428,67,351,188,139,10,8226,0,191,238,132,131,43,43,43,38,36,14,14,14,14,26,1,1,0,0,0.03,43,43,43,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/data_binding_base_class_source_out/freeDebug/out,2.15,2.15,2.15,1.9,107,16.75,87.75,2.5,0,4,24,0,20,4,20,16,46,40,20,0,8,0,32,428,67,351,188,139,10,8226,0,191,238,132,131,43,43,43,38,36,14,14,14,14,26,1,1,0,0,0.03,43,43,43,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/data_binding_base_class_source_out/freeDebug/out/de,2.15,2.15,2.15,1.9,107,16.75,87.75,2.5,0,4,24,0,20,4,20,16,46,40,20,0,8,0,32,428,67,351,188,139,10,8226,0,191,238,132,131,43,43,43,38,36,14,14,14,14,26,1,1,0,0,0.03,43,43,43,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/data_binding_base_class_source_out/freeDebug/out/de/danoeh,2.15,2.15,2.15,1.9,107,16.75,87.75,2.5,0,4,24,0,20,4,20,16,46,40,20,0,8,0,32,428,67,351,188,139,10,8226,0,191,238,132,131,43,43,43,38,36,14,14,14,14,26,1,1,0,0,0.03,43,43,43,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/data_binding_base_class_source_out/freeDebug/out/de/danoeh/antennapod,2.15,2.15,2.15,1.9,107,16.75,87.75,2.5,0,4,24,0,20,4,20,16,46,40,20,0,8,0,32,428,67,351,188,139,10,8226,0,191,238,132,131,43,43,43,38,36,14,14,14,14,26,1,1,0,0,0.03,43,43,43,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/data_binding_base_class_source_out/freeDebug/out/de/danoeh/antennapod/core,2.15,2.15,2.15,1.9,107,16.75,87.75,2.5,0,4,24,0,20,4,20,16,46,40,20,0,8,0,32,428,67,351,188,139,10,8226,0,191,238,132,131,43,43,43,38,36,14,14,14,14,26,1,1,0,0,0.03,43,43,43,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/data_binding_base_class_source_out/freeDebug/out/de/danoeh/antennapod/core/databinding,2.15,2.15,2.15,1.9,107,16.75,87.75,2.5,0,4,24,0,20,4,20,16,46,40,20,0,8,0,32,428,67,351,188,139,10,8226,0,191,238,132,131,43,43,43,38,36,14,14,14,14,26,1,1,0,0,0.03,43,43,43,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/source/buildConfig,0,0,0,0,11,1,7,3,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,11,1,7,6,4,3,0,0,5,6,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/source/buildConfig/free,0,0,0,0,11,1,7,3,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,11,1,7,6,4,3,0,0,5,6,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/source/buildConfig/free/debug,0,0,0,0,11,1,7,3,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,11,1,7,6,4,3,0,0,5,6,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/source/buildConfig/free/debug/de,0,0,0,0,11,1,7,3,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,11,1,7,6,4,3,0,0,5,6,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/source/buildConfig/free/debug/de/danoeh,0,0,0,0,11,1,7,3,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,11,1,7,6,4,3,0,0,5,6,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/source/buildConfig/free/debug/de/danoeh/antennapod,0,0,0,0,11,1,7,3,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,11,1,7,6,4,3,0,0,5,6,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
